# %ECSV 0.9
# ---
# datatype:
# - {name: facet_num,datatype: int}
# - {name: chan_id,datatype: int}
# - {name: SPO_MM_num,datatype: int}
# - {name: SPO_row_num,datatype: int}
# - {name: X,unit: mm,datatype: float64}
# - {name: Y,unit: mm,datatype: float64}
# - {name: Z,unit: mm,datatype: float64}
# - {name: DispNX,datatype: float64}
# - {name: DispNY,datatype: float64}
# - {name: DispNZ,datatype: float64}
# - {name: GBarNX,datatype: float64}
# - {name: GBarNY,datatype: float64}
# - {name: GBarNZ,datatype: float64}
# - {name: NormNX,datatype: float64}
# - {name: NormNY,datatype: float64}
# - {name: NormNZ,datatype: float64}
# - {name: xsize,unit: mm,datatype: float64}
# - {name: ysize,unit: mm,datatype: float64}
# - {name: period,unit: mm,datatype: float64}
# Author: Casey DeRoo
# ORIGFILE: arcusTrace.ParamFiles.arcus_params_wsdesign_rev1p0.py
# Description: Specifications of CAT Grating Facets from preliminary specifications for Arcus 2020 (E. Hertz, as of 20/04/24)
facet_num,chan_id,SPO_MM_num,SPO_row_num,X,Y,Z,DispNX,DispNY,DispNZ,GBarNX,GBarNY,GBarNZ,NormNX,NormNY,NormNZ,xsize,ysize,period
30,1,5,1,-87.5,453.8,11871.51224,0.9997107921758595,-0.0009186075106507164,-0.024030983487099842,0.0,0.9992701875540172,-0.038198066256806815,0.024048534406817583,0.0381870190771783,0.998981190797346,28,28.5,0.0002
31,1,5,1,-87.5,487.3,11870.18143,0.9997107922190486,-0.0009864202637225056,-0.024028293651989725,0.0,0.9991584118762827,-0.04101789825021339,0.02404853261142833,0.041006035554881144,0.9988694474891647,28,28.5,0.0002
32,1,5,1,-54.5,456.9,11870.11896,0.9996401509167817,-0.0010317648373992748,-0.026804927464816043,0.0,0.9992600201127628,-0.038463127853060816,0.026824777260468405,0.03844928693176519,0.9989004373106285,28,28.5,0.0002
33,1,5,1,-54.5,490.4,11868.77904,0.9996401509489096,-0.0011074142827001143,-0.026801907477789055,0.0,0.9991474827089158,-0.041283262909278355,0.026824776063212402,0.04126840716629453,0.9987879404353637,28,28.5,0.0002
34,1,5,1,-21.5,458.4,11868.6031,0.9995617810236936,-0.0011424424246102164,-0.029579397256327074,0.0,0.9992549688120002,-0.038594135623544516,0.029601451260726372,0.03857722294094014,0.9988170763224984,28,28.5,0.0002
35,1,5,1,-21.5,491.9,11867.25857,0.9995617810386072,-0.0012259327563564361,-0.029576054094561176,0.0,0.9991420466925955,-0.0414146173582605,0.029601450757142236,0.04139646868765529,0.99870420370261,28,28.5,0.0002
36,1,6,1,21.5,491.6,11865.09491,0.9994480536540403,-0.0013752184994732161,-0.03319181858876626,0.0,0.9991427793764668,-0.04139693732474923,0.03322029571136992,0.0413740884364589,0.9985913061702977,28,28.5,0.0002
37,1,6,1,21.5,458.1,11866.43908,0.9994480536720095,-0.0012815040604880186,-0.0331955683574628,0.0,0.9992556714753955,-0.0385759384105715,0.03322029517075417,0.038554646563017006,0.9987041359768012,28,28.5,0.0002
38,1,6,1,54.5,490.1,11863.2751,0.999351854419611,-0.0014859038435691165,-0.03596752921527809,0.0,0.9991477348517499,-0.04127716003575123,0.035998209234407996,0.04125040642690306,0.9985001416632504,28,28.5,0.0002
39,1,6,1,54.5,456.6,11864.61542,0.9993518544714834,-0.0013843367778780301,-0.03597158011669906,0.0,0.999260305462326,-0.03845571384513516,0.03599820779437061,0.038430788946160525,0.9986126393635165,28,28.5,0.0002
