# %ECSV 0.9
# ---
# datatype:
# - {name: ccd_num,datatype: int}
# - {name: X,unit: mm,datatype: float64}
# - {name: Y,unit: mm,datatype: float64}
# - {name: Z,unit: mm,datatype: float64}
# - {name: XHat_NX,datatype: float64}
# - {name: XHat_NY,datatype: float64}
# - {name: XHat_NZ,datatype: float64}
# - {name: YHat_NX,datatype: float64}
# - {name: YHat_NY,datatype: float64}
# - {name: YHat_NZ,datatype: float64}
# - {name: ZHat_NX,datatype: float64}
# - {name: ZHat_NY,datatype: float64}
# - {name: ZHat_NZ,datatype: float64}
# - {name: xwidth,unit: mm,datatype: float64}
# - {name: ywidth,unit: mm,datatype: float64}
# - {name: xpix,datatype: float64}
# - {name: ypix,datatype: float64}
# - {name: xpixsize,unit: mm,datatype: float64}
# - {name: ypixsize,unit: mm,datatype: float64}
# Author: Casey DeRoo
# ORIGFILE: arcusTrace.ParamFiles.arcus_params_rev1p8.py
# Description: Specifications of DeRoo Focal Plane, Referenced to Global Instrument Coordinate System
ccd_num,X,Y,Z,XHat_NX,XHat_NY,XHat_NZ,YHat_NX,YHat_NY,YHat_NZ,ZHat_NX,ZHat_NY,ZHat_NZ,xwidth,ywidth,xpix,ypix,xpixsize,ypixsize
0,-240.0,0.0,6.1476506481376418,0.99974081817021099,0.0,-0.022766125809126497,0.0,1.0,0.0,0.022766125809126497,0.0,0.99974081817021099,49.392,24.936,2058,1039,0.024,0.024
1,-289.65200000000004,0.0,7.3303386863517517,0.99969095664304264,0.0,-0.024859428917783439,0.0,1.0,0.0,0.024859428917783439,0.0,0.99969095664304264,49.392,24.936,2058,1039,0.024,0.024
2,-339.30399999999997,0.0,8.6170599473261973,0.9996367091280266,0.0,-0.026952732026440378,0.0,1.0,0.0,0.026952732026440378,0.0,0.9996367091280266,49.392,24.936,2058,1039,0.024,0.024
3,-388.95600000000002,0.0,10.007831368839106,0.99957807491107498,0.0,-0.029046035135097324,0.0,1.0,0.0,0.029046035135097324,0.0,0.99957807491107498,49.392,24.936,2058,1039,0.024,0.024
4,-438.60799999999995,0.0,11.502671262463991,0.99951505322018097,0.0,-0.031139338243754262,0.0,1.0,0.0,0.031139338243754262,0.0,0.99951505322018097,49.392,24.936,2058,1039,0.024,0.024
5,-488.25999999999999,0.0,13.101599314795749,0.99944764322536772,0.0,-0.033232641352411205,0.0,1.0,0.0,0.033232641352411205,0.0,0.99944764322536772,49.392,24.936,2058,1039,0.024,0.024
6,-537.91200000000003,0.0,14.804636588723952,0.99937584403863466,0.0,-0.035325944461068147,0.0,1.0,0.0,0.035325944461068147,0.0,0.99937584403863466,49.392,24.936,2058,1039,0.024,0.024
7,-587.56400000000008,0.0,16.611805524837109,0.99929965471389781,0.0,-0.037419247569725096,0.0,1.0,0.0,0.037419247569725096,0.0,0.99929965471389781,49.392,24.936,2058,1039,0.024,0.024
8,245.0,0.0,6.262038193824992,0.99973599564936633,0.0,0.022976923270322112,0.0,1.0,0.0,-0.022976923270322112,0.0,0.99973599564936633,49.392,24.936,2058,1039,0.024,0.024
9,294.65200000000004,0.0,7.4552017413407157,0.9996856924800448,0.0,0.025070226378979054,0.0,1.0,0.0,-0.025070226378979054,0.0,0.9996856924800448,49.392,24.936,2058,1039,0.024,0.024
10,344.30399999999997,0.0,8.7524001550918911,0.99963100325358767,0.0,0.027163529487635993,0.0,1.0,0.0,-0.027163529487635993,0.0,0.99963100325358767,49.392,24.936,2058,1039,0.024,0.024
11,393.95600000000002,0.0,10.153650511147134,0.99957192725007649,0.0,0.029256832596292939,0.0,1.0,0.0,-0.029256832596292939,0.0,0.99957192725007649,49.392,24.936,2058,1039,0.024,0.024
12,443.60799999999995,0.0,11.6589712594905,0.99950846369166935,0.0,0.031350135704949877,0.0,1.0,0.0,-0.031350135704949877,0.0,0.99950846369166935,49.392,24.936,2058,1039,0.024,0.024
13,493.25999999999999,0.0,13.268382225247478,0.99944061174254895,0.0,0.03344343881360682,0.0,1.0,0.0,-0.03344343881360682,0.0,0.99944061174254895,49.392,24.936,2058,1039,0.024,0.024
14,542.91200000000003,0.0,14.981904609983758,0.99936837050886806,0.0,0.035536741922263762,0.0,1.0,0.0,-0.035536741922263762,0.0,0.99936837050886806,49.392,24.936,2058,1039,0.024,0.024
15,592.56400000000008,0.0,16.799560993098567,0.99929173903869084,0.0,0.037630045030920711,0.0,1.0,0.0,-0.037630045030920711,0.0,0.99929173903869084,49.392,24.936,2058,1039,0.024,0.024
