# %ECSV 0.9
# ---
# datatype:
# - {name: facet_num,datatype: int}
# - {name: chan_id,datatype: int}
# - {name: SPO_MM_num,datatype: int}
# - {name: SPO_row_num,datatype: int}
# - {name: X,unit: mm,datatype: float64}
# - {name: Y,unit: mm,datatype: float64}
# - {name: Z,unit: mm,datatype: float64}
# - {name: DispNX,datatype: float64}
# - {name: DispNY,datatype: float64}
# - {name: DispNZ,datatype: float64}
# - {name: GBarNX,datatype: float64}
# - {name: GBarNY,datatype: float64}
# - {name: GBarNZ,datatype: float64}
# - {name: NormNX,datatype: float64}
# - {name: NormNY,datatype: float64}
# - {name: NormNZ,datatype: float64}
# - {name: xsize,unit: mm,datatype: float64}
# - {name: ysize,unit: mm,datatype: float64}
# - {name: period,unit: mm,datatype: float64}
# Author: Casey DeRoo
# ORIGFILE: arcusTrace.ParamFiles.arcus_params_rev1p8.py
# Description: Specifications of CAT Grating Facets from ARCUS-MEMO-#0002 (E. Hertz, as of 17/11/12)
facet_num,chan_id,SPO_MM_num,SPO_row_num,X,Y,Z,DispNX,DispNY,DispNZ,GBarNX,GBarNY,GBarNZ,NormNX,NormNY,NormNZ,xsize,ysize,period
11,1,2,1,53.5,325.0,11869.021071071,0.99935488367926373,-0.00098303655077909145,-0.035900558568707677,0.0,0.99962531803622579,-0.027371948066855861,0.035914014902338302,0.027354289976427585,0.99898044342893932,27,26,0.0002
12,1,3,1,96.5,342.0,11865.822589576001,0.99921819946301704,-0.001139006025047013,-0.039518255618906477,0.0,0.99958489684530205,-0.0288103106329444,0.039534666583725314,0.028787786716620929,0.99880342083618845,27,26,0.0002
13,1,3,1,96.5,311.0,11866.678085383999,0.99921819953149627,-0.0010357625228041333,-0.039521094633510778,0.0,0.99965675137292487,-0.026198844144925612,0.039534664852943428,0.026178361876298854,0.9988752192563588,27,26,0.0002
14,1,3,1,128.5,336.0,11863.767536551,0.99910791995061399,-0.0011955357750449268,-0.042212971776081382,0.0,0.99959918669010361,-0.028310174292703362,0.042229898081307934,0.028284919351022203,0.99870746419827494,27,26,0.0002
15,1,3,1,128.5,305.0,11864.607571955001,0.99910792005069748,-0.0010852330687986858,-0.042215949132474916,0.0,0.99966974626044136,-0.025698218062444909,0.042229895713455458,0.025675293197378591,0.99877796092387783,27,26,0.0002
16,1,4,2,-128.5,376.0,11875.563271133,0.99978780220120789,-0.00065189619981254759,-0.020589453635864542,0.0,0.99949914630034387,-0.031645798218468392,0.020599771107435771,0.031639083049745401,0.99928705478160418,27,26,0.0002
17,1,4,2,-128.5,407.0,11874.539202514001,0.99978780223965869,-0.0007056430188421925,-0.020587679828555139,0.0,0.99941312873155652,-0.034254899197067507,0.020599769241259398,0.034247630384177177,0.99920105550398397,27,26,0.0002
18,1,4,2,-96.5,382.0,11874.360416207999,0.99972871744531777,-0.00074890201248529044,-0.023279404221659267,0.0,0.99948294190484788,-0.032153519888659242,0.023291447253009245,0.03214479719964182,0.99921179961900675,27,26,0.0002
19,1,4,2,-96.5,413.0,11873.320405663,0.999728717480727,-0.00080967688185043865,-0.023277368143507036,0.0,0.99939558970157594,-0.034762843454463573,0.023291445733173349,0.034753412902714144,0.99912447114825109,27,26,0.0002
20,1,5,2,-53.5,393.0,11872.370210536999,0.99963788960483602,-0.00089025308333403848,-0.026894183680442111,0.0,0.99945257640109064,-0.033083946639149035,0.026908914255126395,0.033071966598157948,0.9990906642337023,27,26,0.0002
21,1,5,2,-53.5,424.0,11871.301043881,0.99963788963014699,-0.00096047677602848066,-0.026891766400684816,0.0,0.99936277938956941,-0.035693629274070736,0.02690891331485333,0.035680704240772909,0.99900089976390727,27,26,0.0002
22,1,5,2,-21.5,393.0,11870.95439798,0.9995617809976356,-0.00097944953724054184,-0.029585243744796656,0.0,0.99945244592145033,-0.033087888140987849,0.029601452140647262,0.033073388399656352,0.99901446686768791,27,26,0.0002
23,1,5,2,-21.5,424.0,11869.884958285,0.99956178100948523,-0.0010567091348996837,-0.02958258458874554,0.0,0.99936262748410776,-0.035697882122901689,0.029601451740515455,0.035682238633034262,0.99892468780233346,27,26,0.0002
24,1,6,2,21.5,424.0,11867.709794846,0.99944805368901068,-0.0011861112414111908,-0.033199113201586174,0.0,0.99936239404552962,-0.035704416639790529,0.033220294659270184,0.035684709718740167,0.9988107996587946,27,26,0.0002
25,1,6,2,21.5,393.0,11868.779626316,0.99944805370330736,-0.0010993905684790206,-0.033202097660376004,0.0,0.99945224540616295,-0.033093944349065318,0.033220294229148635,0.0330756782690389,0.9989006014405899,27,26,0.0002
26,1,6,2,53.5,424.0,11865.888242966001,0.99935488356081315,-0.0012824856642544473,-0.035891112182191716,0.0,0.99936219845789998,-0.0357098906942203,0.03591401819838165,0.035686853656691886,0.99871749347497263,27,26,0.0002
27,1,6,2,53.5,393.0,11866.958384572001,0.999354883601278,-0.0011887186891869769,-0.035894338970851987,0.0,0.99945207740182174,-0.033099017767650354,0.035914017072397317,0.033077665048506844,0.9988073144769527,27,26,0.0002
28,1,7,2,96.5,413.0,11863.556872143999,0.9992181992816338,-0.0013754672760192684,-0.039510736694497783,0.0,0.99939459535417452,-0.034791418149680196,0.039534671168094129,0.034764218193977806,0.99861326794159522,27,26,0.0002
29,1,7,2,96.5,382.0,11864.598594042,0.9992181993650332,-0.0012722235715932225,-0.039514193714219999,0.0,0.9994820913773782,-0.032179947419197698,0.039534669060218783,0.032154789115872169,0.99870069564370134,27,26,0.0002
30,1,7,2,128.5,407.0,11861.537142761001,0.99910791968485213,-0.0014481649278341973,-0.042205066536484363,0.0,0.99941184256046078,-0.034292403676394523,0.042229904368909971,0.034261812098115706,0.99852028692898687,27,26,0.0002
31,1,7,2,128.5,376.0,11862.563456178001,0.9991079198071473,-0.0013378619899242904,-0.042208704125227307,0.0,0.99949804878565118,-0.031680443078909985,0.04222990147555479,0.03165218158313849,0.99860641637353464,27,26,0.0002
32,1,8,3,-196.5,424.0,11875.519329274999,0.99988927512487913,-0.00053096046855541357,-0.014871300253327177,0.0,0.99936323156930063,-0.035680966738088099,0.01488077586162017,0.035677015967501828,0.9992525772002846,27,26,0.0002
33,1,8,3,-196.5,455.0,11874.37002498,0.9998892751656886,-0.00056978068101810658,-0.01486986074614087,0.0,0.99926667967630878,-0.038289723016567891,0.014880773119501638,0.038285483393331037,0.99915603603876846,27,26,0.0002
34,1,8,3,-164.5,430.0,11874.658460860999,0.99984560136552203,-0.00063589108388157668,-0.017560440556745199,0.0,0.99934500526822045,-0.036187849417454072,0.017571950091482214,0.036182262062919322,0.99919070776403474,27,26,0.0002
35,1,8,3,-164.5,461.0,11873.493222872001,0.99984560140966261,-0.00068173442086258266,-0.017558718060543262,0.0,0.99924712276303485,-0.038796747928099187,0.017571947579885304,0.038790757764909409,0.99909284041588142,27,26,0.0002
36,1,9,3,-128.5,447.0,11873.097854833,0.9997878022937845,-0.00077499377355928116,-0.020585183244643476,0.0,0.99929206141247717,-0.037621483197795146,0.020599766614323719,0.037613500005356154,0.99908001392920609,27,26,0.0002
37,1,9,3,-128.5,478.0,11871.887805629,0.99978780233923081,-0.00082874062566445103,-0.020583087296768082,0.0,0.99919042220436516,-0.040230587555521592,0.020599764408628617,0.040222050718950943,0.99897839633411045,27,26,0.0002
38,1,9,3,-96.5,452.0,11871.896651831999,0.99972871752920656,-0.00088613562152267406,-0.023274580792531196,0.0,0.99927600624459345,-0.038045543022214301,0.023291443652289859,0.038035221933300556,0.99900492018061482,27,26,0.0002
39,1,9,3,-96.5,484.0,11870.632412162,0.99972871757226067,-0.0009488710274318567,-0.023272105729739784,0.0,0.99916982062689585,-0.040739042065522084,0.023291441804295567,0.040727990279286787,0.99889876341223272,27,26,0.0002
40,1,10,3,-53.5,461.0,11869.91858662,0.99963788966287837,-0.0010442922012464729,-0.026888640801383562,0.0,0.99924666974784793,-0.038808414008248922,0.026908912098920181,0.038794361080369238,0.99888483219939761,27,26,0.0002
41,1,10,3,-53.5,492.0,11868.671175366,0.99963788969241574,-0.0011145159811020188,-0.026885820527216029,0.0,0.99914190230829047,-0.041418100533105379,0.026908911001632948,0.041403102611981782,0.99878010272672546,27,26,0.0002
42,1,10,3,-21.5,461.0,11868.502147907,0.99956178102480886,-0.001148922268833983,-0.029579146237384626,0.0,0.99924649012889022,-0.038813038596505124,0.029601451223080392,0.038796029986507309,0.99880860135602245,27,26,0.0002
43,1,10,3,-21.5,492.0,11867.254417958,0.9995617810386368,-0.0012261819809755337,-0.02957604376209836,0.0,0.99914169767393046,-0.041423036697662681,0.029601450756137387,0.041404884337544537,0.99870385483692137,27,26,0.0002
44,1,11,3,21.5,492.0,11865.078290553,0.99944805365383915,-0.0013763374778775702,-0.033191772213901682,0.0,0.99914138321474855,-0.041430620894684814,0.033220295717415672,0.041407753414862816,0.99858991077898496,27,26,0.0002
45,1,11,3,21.5,461.0,11866.326477787999,0.99944805367052303,-0.0012896166498228025,-0.033195254225571749,0.0,0.99924621410650416,-0.038820144175652965,0.033220295215482948,0.038798717539565444,0.99869468382638427,27,26,0.0002
46,1,11,3,53.5,492.0,11863.255975579999,0.99935488346126644,-0.0014881683576489092,-0.035883175125096534,0.0,0.99914111974997522,-0.041436974126570207,0.035914020968405271,0.041410242449246064,0.99849655728909537,27,26,0.0002
47,1,11,3,53.5,461.0,11864.504524811,0.99935488350848622,-0.0013944011942760145,-0.03588693986743955,0.0,0.99924598284276078,-0.038826096540921583,0.035914019654444428,0.038801049185741933,0.99860135278015005,27,26,0.0002
48,1,12,3,96.5,484.0,11860.86445411,0.99921819906605147,-0.0016119290555332093,-0.039501801730001951,0.0,0.99916845438915014,-0.040772536756945532,0.039534676616819038,0.040740660749629509,0.99838730355833705,27,26,0.0002
49,1,12,3,96.5,452.0,11862.130775015001,0.99921819916745114,-0.0015053546611144531,-0.039506004099376178,0.0,0.9992748149490196,-0.038076819833103355,0.039534674053995515,0.038047051343657032,0.99849358106674735,27,26,0.0002
50,1,12,3,128.5,478.0,11858.879932095,0.99910791936817855,-0.001700794687483206,-0.04219564851047778,0.0,0.99918864735863089,-0.040274644500347026,0.042229911861010994,0.040238716270034787,0.99829729051878668,27,26,0.0002
51,1,12,3,128.5,447.0,11860.092634926999,0.99910791951270983,-0.0015904914715383757,-0.042199946728202445,0.0,0.99929050962972865,-0.037662678661467143,0.042229908441579186,0.037629080520734173,0.99839906206495399,27,26,0.0002
52,1,13,3,164.5,461.0,11856.840509207999,0.99897510783639365,-0.0017585175799472727,-0.045228768932913749,0.0,0.99924500886963208,-0.038851155055274547,0.045262942052697895,0.038811336810911333,0.99822089049051876,27,26,0.0002
53,1,13,3,164.5,430.0,11858.009019834,0.99897510803702816,-0.0016402651704586562,-0.045233207409810003,0.0,0.99934316647683696,-0.036238592909339472,0.045262937624598674,0.036201452266717275,0.99831894769726404,27,26,0.0002
54,1,13,3,196.5,455.0,11854.475380870001,0.99884926530322504,-0.0018394459063704926,-0.047924541124200234,0.0,0.99926421895540174,-0.038353887879207009,0.047959829057322788,0.038309752729668196,0.9981143309474042,27,26,0.0002
55,1,13,3,196.5,424.0,11855.628542832001,0.9988492655644704,-0.0017141202621201086,-0.047929181852447718,0.0,0.99936109514880034,-0.035740754090957158,0.047959823616418928,0.035699625974472904,0.99821109592308421,27,26,0.0002
56,1,14,4,-193.5,502.0,11872.419493275,0.99988548870295413,-0.00063929798730126173,-0.015119549574595562,0.0,0.99910727620368556,-0.042245125598733155,0.015133059216669319,0.042240288054606952,0.99899286713359914,27,26,0.0002
57,1,14,4,-193.5,533.0,11871.065833121,0.99988548875146421,-0.00067877653816168294,-0.015117825460591568,0.0,0.99899355749119934,-0.044853897167110586,0.015133056011449552,0.044848760891344285,0.99887916149165179,27,26,0.0002
58,1,14,4,-161.5,507.0,11871.545148875,0.99984113542344633,-0.00076052991200778832,-0.017808018121243371,0.0,0.99908929475209918,-0.042668268206629875,0.017824250759950359,0.04266148973026896,0.99893057485434933,27,26,0.0002
59,1,14,4,-161.5,538.0,11870.178122691999,0.99984113547539011,-0.00080703178209093546,-0.017805968409094722,0.0,0.99897446235773113,-0.045277185834391942,0.017824247846206134,0.045269992895788688,0.99881576075467116,27,26,0.0002
60,1,14,4,-129.5,514.0,11870.409476655999,0.99978953187616015,-0.00088751553755118918,-0.020496445228846458,0.0,0.99906383015475175,-0.043260412347982898,0.020515651363008133,0.043251307410159472,0.99885355906482265,27,26,0.0002
61,1,14,4,-129.5,545.0,11869.023814217,0.99978953192829811,-0.00094104284213329778,-0.020494054868768,0.0,0.99894743989848889,-0.045869514061682951,0.020515648822174833,0.04585985999350848,0.99873719335708189,27,26,0.0002
62,1,15,4,-86.5,528.0,11868.400954072,0.99970876511687712,-0.0010725497277529218,-0.024108807219985685,0.0,0.99901188075834302,-0.044443920885519919,0.024132653158924253,0.044430977265415297,0.9987209336500118,27,26,0.0002
63,1,15,4,-86.5,559.0,11866.978151518,0.9997087651627875,-0.001135521604594957,-0.024105921417361391,0.0,0.99889237865304892,-0.047053330050635285,0.024132651257052228,0.047039626481717688,0.99860146639375902,27,26,0.0002
64,1,15,4,-54.5,528.0,11867.1620422,0.99964015098777459,-0.001192322378363353,-0.026798263012460619,0.0,0.99901167473735675,-0.044448551590143923,0.026824774614877214,0.044432556822759366,0.99865218137300094,27,26,0.0002
65,1,15,4,-54.5,559.0,11865.738897507999,0.99964015102194248,-0.0012623264449082693,-0.026795055453848016,0.0,0.99889214766606838,-0.04705823340361899,0.026824773341601698,0.047041299546419509,0.99853269734754102,27,26,0.0002
66,1,15,4,-22.5,528.0,11865.750291652999,0.99956426952456423,-0.0013121570894512121,-0.029488121906913394,0.0,0.99901143989618846,-0.04445382949245473,0.029517301533581668,0.044434459604195044,0.99857614016651663,27,26,0.0002
67,1,15,4,-22.5,559.0,11864.326783844999,0.99956426954100297,-0.0013891969977512133,-0.029484592394377066,0.0,0.99889188437139942,-0.047063821954392591,0.029517300976903679,0.047043314813650254,0.99845663675213392,27,26,0.0002
68,1,16,4,22.5,559.0,11862.048298513,0.99944525235575821,-0.0015677359292711589,-0.033267547964809747,0.0,0.99889145934016199,-0.047072842035312555,0.033304467320989309,0.047046728487085701,0.99833732665623975,27,26,0.0002
69,1,16,4,22.5,528.0,11863.472352567,0.99944525237576542,-0.00148079480014701,-0.03327153062759286,0.0,0.99901106079028268,-0.044462348326131884,0.033304466720591577,0.044437682944030062,0.99845686177772508,27,26,0.0002
70,1,16,4,54.5,559.0,11860.219705940999,0.99935185430144868,-0.0016947988538038028,-0.035958294746851666,0.0,0.99889111805562469,-0.047080083576646684,0.035998212514739045,0.047049568822989045,0.9982436910741358,27,26,0.0002
71,1,16,4,54.5,528.0,11861.644173856999,0.99935185435655471,-0.0016008111955986021,-0.035962599984312907,0.0,0.99901075637804082,-0.044469187545699909,0.035998210984931694,0.044440365035524614,0.99836325190853958,27,26,0.0002
72,1,16,4,86.5,559.0,11858.217770484,0.99925116234752398,-0.001821956023932468,-0.038649644543893316,0.0,0.99889074423809276,-0.047088014138089426,0.038692564494001255,0.047052752860122497,0.99814273723809765,27,26,0.0002
73,1,16,4,86.5,528.0,11859.64267347,0.99925116244619361,-0.0017209166021239126,-0.038654272674302548,0.0,0.99901042294467501,-0.04447667757265189,0.03869256194581587,0.044443371766216953,0.99826232642333002,27,26,0.0002
74,1,17,4,129.5,545.0,11855.908268281,0.99910435493014726,-0.0019430724811983395,-0.042269521276529672,0.0,0.9989451135161409,-0.045920150067526921,0.042314157909784586,0.045879021911512059,0.99805041325016686,27,26,0.0002
75,1,17,4,129.5,514.0,11857.296994615999,0.9991043550975427,-0.0018325482566951315,-0.042274453184046643,0.0,0.99906176138349922,-0.043308162525092335,0.042314153957313951,0.043269373790091957,0.99816695680967626,27,26,0.0002
76,1,17,4,161.5,538.0,11853.820381072001,0.99898652903409546,-0.0020407400122144396,-0.044963876485607145,0.0,0.99897163438025882,-0.045339537973324281,0.045010163390176536,0.045293587667980792,0.99795920563305218,27,26,0.0002
77,1,17,4,161.5,507.0,11855.191178446001,0.99898652926301457,-0.0019231499678334072,-0.044969054306681099,0.0,0.99908678386726368,-0.042727020745278316,0.045010158309386247,0.042683718160074408,0.99807423864810541,27,26,0.0002
78,1,17,4,193.5,533.0,11851.464501599001,0.99886137404199737,-0.0021433757277078266,-0.047658801783336271,0.0,0.9989902306395666,-0.044927932143664535,0.047706974824793316,0.044876776033886373,0.99785275443116916,27,26,0.0002
79,1,17,4,193.5,502.0,11852.822638144,0.99886137434229272,-0.0020187130546976098,-0.047664238634734381,0.0,0.99910432576307184,-0.042314846585066117,0.047706968537375251,0.042266665815042424,0.99796671994303165,27,26,0.0002
80,1,18,5,-193.5,571.0,11869.295652191,0.99988548881491357,-0.00072716959801298641,-0.01511557083730476,0.0,0.99884484755093217,-0.048051748365228464,0.015133051819175552,0.048046245902577681,0.99873046864372139,27,26,0.0002
81,1,18,5,-193.5,602.0,11867.761086754999,0.99988548886992845,-0.0007666481446768202,-0.015113616310014094,0.0,0.99871593125800862,-0.050660523600219741,0.015133048184158421,0.050654722406412278,0.9986015671681,27,26,0.0002
82,1,18,5,-161.5,576.0,11868.391529883,0.99984113554328835,-0.00086403408450261775,-0.017803289600765767,0.0,0.99882438566943488,-0.048475216266417362,0.017824244037487728,0.048467515277521224,0.99866570797605525,27,26,0.0002
83,1,18,5,-161.5,607.0,11866.843552855,0.9998411356021295,-0.00091053597149627239,-0.017800968571652559,0.0,0.99869435307131982,-0.051084137885044074,0.017824240736826653,0.051076022434238227,0.99853569609426229,27,26,0.0002
84,1,18,5,-129.5,583.0,11867.214344959,0.99978953199639387,-0.001006656982232615,-0.020490933413385981,0.0,0.99879545148769588,-0.049067770353762696,0.020515645503656369,0.049057443158094939,0.99858523700301061,27,26,0.0002
85,1,18,5,-129.5,614.0,11865.647678974001,0.99978953205536314,-0.0010601843285294877,-0.020488230809609976,0.0,0.99866385758429843,-0.051676876403748039,0.020515642629913178,0.051666000077786087,0.99845367085480941,27,26,0.0002
86,1,19,5,-86.5,596.0,11865.173487148,0.99970876522102936,-0.0012106816332975547,-0.024102261101978498,0.0,0.99874080368977936,-0.050167788919720797,0.024132648844359166,0.050153178314803315,0.99844993563256779,27,26,0.0002
87,1,19,5,-86.5,627.0,11863.572221033,0.99970876527271535,-0.0012736535906555915,-0.024099013329059987,0.0,0.99860631224624996,-0.052777202862080264,0.024132646703235863,0.052761832307797865,0.99831548340923815,27,26,0.0002
88,1,19,5,-54.5,596.0,11863.933799056,0.9996401510652867,-0.001345879751048909,-0.026790987026735279,0.0,0.99874054102070264,-0.050173017864926228,0.026824771726353638,0.050154963157896179,0.99838114530096134,27,26,0.0002
89,1,19,5,-54.5,627.0,11862.332147671001,0.99964015110375193,-0.0014158839304781407,-0.02678737713856718,0.0,0.99860602145130428,-0.052782704754469265,0.026824770292929213,0.05276371095642237,0.9982466741766981,27,26,0.0002
90,1,19,5,-22.5,596.0,11862.521224695,0.99956426956185684,-0.0014811479421096218,-0.029480115604343472,0.0,0.99874024161979946,-0.050178977363280128,0.029517300270720408,0.050157112855488045,0.99830506009672726,27,26,0.0002
91,1,19,5,-22.5,627.0,11860.919164419,0.99956426958036282,-0.0015581879989031056,-0.029476143377922707,0.0,0.99860568999843535,-0.052788975200784058,0.029517299644035565,0.052765973438467603,0.99817056712208008,27,26,0.0002
92,1,20,5,22.5,627.0,11858.639370938001,0.99944525230785575,-0.0017584458251971812,-0.033258014185557981,0.0,0.99860515496300917,-0.052799095459151409,0.033304468758515414,0.052769805282798135,0.99805118105793,27,26,0.0002
93,1,20,5,22.5,596.0,11860.242046322999,0.99944525233037829,-0.0016715044919926811,-0.033262496403606311,0.0,0.99873975831363326,-0.050188595951924014,0.033304468082626305,0.050160753945278087,0.9981857097601502,27,26,0.0002
94,1,20,5,54.5,627.0,11856.809787251999,0.99935185416951,-0.0019009657208952301,-0.035947988779491416,0.0,0.99860472536286304,-0.052807219988946906,0.035998216177506065,0.052772993209491297,0.99795748387381134,27,26,0.0002
95,1,20,5,54.5,596.0,11858.412928672,0.99935185423154416,-0.0018069778151398222,-0.035952834035029448,0.0,0.99873937024303272,-0.05019631785849004,0.035998214455369576,0.050163783327477979,0.99809204154641928,27,26,0.0002
96,1,20,5,86.5,627.0,11854.806809887001,0.9992511621112844,-0.002043591349575811,-0.038638565626120405,0.0,0.99860425482110848,-0.052816117361831824,0.038692570594987277,0.052776566652016424,0.9978564621192656,27,26,0.0002
97,1,20,5,86.5,596.0,11856.410441225,0.99925116222235755,-0.0019425516334501958,-0.038643774277613389,0.0,0.99873894518437634,-0.050204774394465669,0.038692567726473705,0.050167179162781086,0.99799105173221958,27,26,0.0002
98,1,21,5,129.5,614.0,11852.524664904,0.99910435452222413,-0.0021890785857385858,-0.042257504773419802,0.0,0.99866090315909739,-0.051733939550899236,0.042314167541500046,0.051687604281892938,0.99776645703735123,27,26,0.0002
99,1,21,5,129.5,583.0,11854.094796944,0.99910435471152936,-0.0020785540021748881,-0.042263080930271819,0.0,0.99879278856716391,-0.049121945261039517,0.042314163071702868,0.049077949422205953,0.99789822451192534,27,26,0.0002
100,1,21,5,161.5,607.0,11850.476608538,0.99898652847560709,-0.0023024733421364691,-0.044951246264860856,0.0,0.99869075115206984,-0.051154506774229593,0.045010175785653354,0.051102663138269541,0.99767860651410245,27,26,0.0002
101,1,21,5,161.5,576.0,11852.028858299,0.99898652873488492,-0.0021848828897800395,-0.044957109482077685,0.0,0.99882114311159442,-0.048541982584646544,0.045010170031067116,0.048492786680145283,0.99780886658406109,27,26,0.0002
102,1,21,5,193.5,602.0,11848.148822502,0.99886137330876179,-0.002420851443700188,-0.047645528541741942,0.0,0.99871168491485474,-0.050744166310343543,0.047706990176853661,0.050686387648157964,0.99757452513355926,27,26,0.0002
103,1,21,5,193.5,571.0,11849.688465335999,0.99886137364926064,-0.0022961883102118946,-0.047651692003077492,0.0,0.99884102827143051,-0.048131073556186933,0.0477069830476851,0.048076270247546495,0.99770372155644127,27,26,0.0002
104,1,22,6,-193.5,641.0,11865.714984949,0.99988548894329898,-0.00081631470044674288,-0.015111010255109312,0.0,0.99854404162057187,-0.053942533719263927,0.015133043336361136,0.053936356702726583,0.9984296972872031,27,26,0.0002
